Unnamed: 0,Num,case_filed,city,area,crime_description,age,sex,weapon,domain,police_department,closed
24820,24821,10-31-2022 04:00,Mumbai,327,TRAFFIC VIOLATION,12.0,M,Poison,Traffic Fatality,11.0,No
35162,35163,01-05-2024 02:00,Delhi,263,FIREARM OFFENSE,70.0,F,,Fire Accident,10.0,No
3953,3954,06-13-2020 17:00,Patna,105,FRAUD,60.0,F,Knife,Other Crime,9.0,No
6740,6741,10-07-2020 20:00,Delhi,217,DRUG OFFENSE,57.900000000000006,F,Poison,Other Crime,35.900000000000006,Yes
13781,13782,07-28-2021 05:00,Nagpur,191,PUBLIC INTOXICATION,37.0,F,Knife,Other Crime,4.0,Yes
12014,12015,05-15-2021 14:00,Srinagar,527,COUNTERFEITING,61.0,F,,Other Crime,18.0,No
31842,31843,08-19-2023 18:00,Mumbai,459,FIREARM OFFENSE,67.0,F,,Fire Accident,2.0,Yes
28303,28304,03-25-2023 07:00,Hyderabad,383,COUNTERFEITING,32.0,M,Explosives,Other Crime,13.0,No
2130,2131,03-29-2020 18:00,Varanasi,335,FRAUD,13.0,M,,Other Crime,1.0,Yes
33469,33470,10-26-2023 13:00,Ludhiana,276,IDENTITY THEFT,66.0,F,Blunt Object,Violent Crime,10.0,No
36223,36224,02-18-2024 07:00,Nagpur,259,KIDNAPPING,56.0,F,Poison,Other Crime,14.0,No
4648,4649,07-12-2020 16:00,Chennai,381,EXTORTION,62.0,F,Firearm,Other Crime,19.0,No
27850,27851,03-06-2023 10:00,Mumbai,542,KIDNAPPING,26.0,X,Firearm,Other Crime,16.0,Yes
2690,2691,04-22-2020 02:00,Visakhapatnam,396,DOMESTIC VIOLENCE,67.0,F,Knife,Violent Crime,7.0,Yes
14429,14430,08-24-2021 05:00,Chennai,329,FRAUD,57.0,M,,Other Crime,6.0,Yes
3464,3465,05-24-2020 08:00,Kolkata,401,HOMICIDE,73.0,M,Firearm,Other Crime,13.0,No
1596,1597,03-07-2020 12:00,Hyderabad,327,ROBBERY,70.0,F,,Violent Crime,11.0,No
30881,30882,07-10-2023 17:00,Visakhapatnam,594,ARSON,68.0,M,Firearm,Fire Accident,17.0,No
39809,39810,07-16-2024 17:00,Kanpur,485,FIREARM OFFENSE,13.0,F,Firearm,Fire Accident,6.0,Yes
27054,27055,02-01-2023 06:00,Nagpur,182,DOMESTIC VIOLENCE,45.0,F,Explosives,Violent Crime,17.0,Yes
28895,28896,04-18-2023 23:00,Faridabad,494,ARSON,26.0,X,Poison,Fire Accident,13.0,Yes
5485,5486,08-16-2020 13:00,Mumbai,189,EXTORTION,37.0,F,Blunt Object,Other Crime,18.0,Yes
32276,32277,09-06-2023 20:00,Ahmedabad,532,FIREARM OFFENSE,26.9,F,Other,Fire Accident,7.899999999999999,No
3654,3655,06-01-2020 06:00,Kanpur,188,FRAUD,21.0,F,Other,Other Crime,8.0,No
24894,24895,11-03-2022 06:00,Delhi,103,FIREARM OFFENSE,31.0,M,Firearm,Fire Accident,18.0,Yes
15554,15555,10-10-2021 02:00,Agra,106,SHOPLIFTING,77.0,M,,Other Crime,15.0,Yes
13423,13424,07-13-2021 07:00,Mumbai,234,FIREARM OFFENSE,36.0,F,Other,Fire Accident,2.0,No
37282,37283,04-02-2024 10:00,Mumbai,301,HOMICIDE,67.0,F,Knife,Other Crime,17.0,Yes
15135,15136,09-22-2021 15:00,Delhi,191,EXTORTION,44.900000000000006,F,Knife,Other Crime,32.900000000000006,No
27940,27941,03-10-2023 04:00,Delhi,364,FIREARM OFFENSE,30.0,F,Poison,Fire Accident,12.0,Yes
14615,14616,08-31-2021 23:00,Ahmedabad,308,FRAUD,61.900000000000006,F,Blunt Object,Other Crime,24.9,Yes
8077,8078,12-02-2020 13:00,Thane,135,ILLEGAL POSSESSION,61.0,F,Firearm,Other Crime,17.0,Yes
24192,24193,10-05-2022 00:00,Mumbai,419,COUNTERFEITING,57.0,F,Poison,Other Crime,13.0,No
25237,25238,11-17-2022 13:00,Bangalore,157,IDENTITY THEFT,43.0,X,Knife,Violent Crime,18.0,Yes
19067,19068,03-05-2022 11:00,Surat,376,HOMICIDE,42.0,F,Other,Other Crime,3.0,No
2977,2978,05-04-2020 01:00,Delhi,551,COUNTERFEITING,29.0,M,Firearm,Other Crime,14.0,Yes
33370,33371,10-22-2023 10:00,Lucknow,482,FRAUD,57.0,M,Knife,Other Crime,4.0,No
12772,12773,06-16-2021 04:00,Kolkata,512,ILLEGAL POSSESSION,27.0,F,Knife,Other Crime,4.0,No
24191,24192,10-04-2022 23:00,Chennai,348,FIREARM OFFENSE,46.0,F,,Fire Accident,19.0,Yes
29583,29584,05-17-2023 15:00,Kolkata,328,VANDALISM,46.9,M,Poison,Other Crime,-4.1000000000000005,Yes
26207,26208,12-27-2022 23:00,Ludhiana,418,HOMICIDE,79.0,X,Explosives,Other Crime,11.0,Yes
9868,9869,02-15-2021 04:00,Kolkata,414,VANDALISM,66.9,F,,Other Crime,-0.1000000000000005,Yes
10495,10496,03-13-2021 07:00,Thane,550,DRUG OFFENSE,66.0,F,Firearm,Other Crime,2.0,Yes
21061,21062,05-27-2022 13:00,Bangalore,352,ASSAULT,11.0,F,Blunt Object,Violent Crime,8.0,No
28057,28058,03-15-2023 01:00,Kolkata,218,SEXUAL ASSAULT,46.0,X,Firearm,Violent Crime,8.0,Yes
2166,2167,03-31-2020 06:00,Chennai,598,SHOPLIFTING,22.0,M,Poison,Other Crime,7.0,No
27709,27710,02-28-2023 13:00,Jaipur,310,SEXUAL ASSAULT,23.9,X,Firearm,Violent Crime,9.9,Yes
6788,6789,10-09-2020 20:00,Hyderabad,148,FIREARM OFFENSE,29.0,F,Other,Fire Accident,5.0,No
1379,1380,02-27-2020 11:00,Mumbai,327,IDENTITY THEFT,63.0,F,Firearm,Violent Crime,11.0,Yes
4126,4127,06-20-2020 22:00,Jaipur,264,SHOPLIFTING,13.0,M,,Other Crime,19.0,No
30547,30548,06-26-2023 19:00,Delhi,287,ROBBERY,79.0,F,Firearm,Violent Crime,10.0,Yes
32211,32212,09-04-2023 03:00,Chennai,554,SHOPLIFTING,39.0,F,Blunt Object,Other Crime,16.0,No
9966,9967,02-19-2021 06:00,Indore,143,CYBERCRIME,49.9,M,Other,Other Crime,13.9,Yes
9092,9093,01-13-2021 20:00,Nagpur,392,COUNTERFEITING,46.0,F,,Other Crime,17.0,Yes
821,822,02-04-2020 05:00,Pune,564,FRAUD,13.0,F,Blunt Object,Other Crime,12.0,No
11406,11407,04-20-2021 06:00,Ludhiana,577,VANDALISM,63.0,F,Firearm,Other Crime,16.0,Yes
16519,16520,11-19-2021 07:00,Meerut,176,TRAFFIC VIOLATION,38.900000000000006,F,Knife,Traffic Fatality,32.900000000000006,No
17682,17683,01-06-2022 18:00,Thane,375,HOMICIDE,40.0,X,Knife,Other Crime,17.0,No
6283,6284,09-18-2020 19:00,Kanpur,358,ILLEGAL POSSESSION,17.0,M,Firearm,Other Crime,12.0,Yes
1612,1613,03-08-2020 04:00,Bangalore,166,VEHICLE - STOLEN,49.0,F,,Violent Crime,17.0,Yes
20348,20349,04-27-2022 20:00,Delhi,203,SHOPLIFTING,23.0,M,Explosives,Other Crime,16.0,Yes
24627,24628,10-23-2022 03:00,Hyderabad,151,FRAUD,77.0,F,Knife,Other Crime,5.0,Yes
30034,30035,06-05-2023 10:00,Ahmedabad,134,ILLEGAL POSSESSION,13.0,F,Knife,Other Crime,10.0,No
24731,24732,10-27-2022 11:00,Srinagar,484,KIDNAPPING,11.0,X,Other,Other Crime,10.0,Yes
25454,25455,11-26-2022 14:00,Delhi,111,CYBERCRIME,15.0,F,,Other Crime,16.0,No
38205,38206,05-10-2024 21:00,Thane,396,TRAFFIC VIOLATION,66.0,M,Explosives,Traffic Fatality,12.0,No
26870,26871,01-24-2023 14:00,Ahmedabad,173,FRAUD,56.0,M,Knife,Other Crime,14.0,Yes
29918,29919,05-31-2023 14:00,Kolkata,541,COUNTERFEITING,21.0,F,,Other Crime,6.0,Yes
32086,32087,08-29-2023 22:00,Mumbai,165,DOMESTIC VIOLENCE,28.0,F,Poison,Violent Crime,14.0,No
14970,14971,09-15-2021 18:00,Delhi,164,DRUG OFFENSE,22.0,F,Firearm,Other Crime,17.0,No
21210,21211,06-02-2022 18:00,Chennai,460,DOMESTIC VIOLENCE,40.0,X,Explosives,Violent Crime,8.0,Yes
5141,5142,08-02-2020 05:00,Mumbai,239,FRAUD,18.0,F,Poison,Other Crime,9.0,No
31406,31407,08-01-2023 14:00,Agra,194,FIREARM OFFENSE,12.0,F,Knife,Fire Accident,7.0,Yes
7218,7219,10-27-2020 18:00,Bangalore,420,SEXUAL ASSAULT,32.0,M,,Violent Crime,12.0,No
7895,7896,11-24-2020 23:00,Ahmedabad,395,HOMICIDE,33.0,M,Firearm,Other Crime,4.0,No
40107,40108,07-29-2024 03:00,Srinagar,428,COUNTERFEITING,77.0,M,Explosives,Other Crime,7.0,No
18387,18388,02-05-2022 03:00,Lucknow,599,COUNTERFEITING,76.0,M,Explosives,Other Crime,17.0,No
18685,18686,02-17-2022 13:00,Rajkot,245,ARSON,69.0,M,Other,Fire Accident,1.0,No
6152,6153,09-13-2020 08:00,Pune,329,IDENTITY THEFT,67.0,F,Firearm,Violent Crime,5.0,Yes
14025,14026,08-07-2021 09:00,Bangalore,390,ROBBERY,64.0,F,Poison,Violent Crime,4.0,Yes
3440,3441,05-23-2020 08:00,Mumbai,443,TRAFFIC VIOLATION,49.0,M,Knife,Traffic Fatality,11.0,No
19046,19047,03-04-2022 14:00,Surat,217,VANDALISM,68.0,X,Explosives,Other Crime,18.0,No
17256,17257,12-20-2021 00:00,Chennai,282,IDENTITY THEFT,69.0,F,Poison,Violent Crime,17.0,Yes
22511,22512,07-26-2022 23:00,Delhi,197,HOMICIDE,13.0,M,Explosives,Other Crime,7.0,Yes
33947,33948,11-15-2023 11:00,Surat,363,DOMESTIC VIOLENCE,46.0,M,Explosives,Violent Crime,9.0,No
29150,29151,04-29-2023 14:00,Ludhiana,429,CYBERCRIME,13.0,X,,Other Crime,13.0,Yes
2398,2399,04-09-2020 22:00,Delhi,475,FIREARM OFFENSE,56.0,F,Knife,Fire Accident,15.0,Yes
276,277,01-12-2020 12:00,Indore,115,ASSAULT,10.0,F,Poison,Violent Crime,14.0,No
12722,12723,06-14-2021 02:00,Indore,523,COUNTERFEITING,19.0,F,Explosives,Other Crime,19.0,Yes
14628,14629,09-01-2021 12:00,Kolkata,517,FIREARM OFFENSE,27.0,F,,Fire Accident,7.0,No
16491,16492,11-18-2021 03:00,Ahmedabad,267,VANDALISM,57.0,M,Knife,Other Crime,16.0,Yes
18845,18846,02-24-2022 05:00,Agra,218,DOMESTIC VIOLENCE,14.0,F,Knife,Violent Crime,16.0,No
22355,22356,07-20-2022 11:00,Delhi,576,PUBLIC INTOXICATION,64.0,X,Firearm,Other Crime,10.0,Yes
10307,10308,03-05-2021 11:00,Nagpur,362,EXTORTION,66.0,F,,Other Crime,14.0,Yes
20367,20368,04-28-2022 15:00,Delhi,511,CYBERCRIME,78.0,F,Knife,Other Crime,13.0,Yes
34702,34703,12-16-2023 22:00,Surat,235,VANDALISM,13.0,F,Knife,Other Crime,6.0,No
32570,32571,09-19-2023 02:00,Patna,139,CYBERCRIME,47.0,F,Blunt Object,Other Crime,1.0,Yes
35580,35581,01-22-2024 12:00,Ghaziabad,533,SEXUAL ASSAULT,62.9,F,Poison,Violent Crime,-2.1000000000000005,No
18131,18132,01-25-2022 11:00,Visakhapatnam,107,EXTORTION,70.0,X,Blunt Object,Other Crime,15.0,No
4841,4842,07-20-2020 17:00,Mumbai,116,COUNTERFEITING,13.0,F,,Other Crime,3.0,Yes
32854,32855,09-30-2023 22:00,Chennai,238,DRUG OFFENSE,73.0,M,Poison,Other Crime,12.0,No
20087,20088,04-16-2022 23:00,Patna,128,SEXUAL ASSAULT,42.0,F,Poison,Violent Crime,5.0,Yes
5444,5445,08-14-2020 20:00,Hyderabad,400,SHOPLIFTING,57.0,F,Knife,Other Crime,3.0,No
24009,24010,09-27-2022 09:00,Agra,195,ARSON,33.0,F,Firearm,Fire Accident,12.0,Yes
39540,39541,07-05-2024 12:00,Chennai,251,TRAFFIC VIOLATION,39.0,F,Firearm,Traffic Fatality,5.0,No
30736,30737,07-04-2023 16:00,Lucknow,253,TRAFFIC VIOLATION,26.0,F,Explosives,Traffic Fatality,7.0,No
20304,20305,04-26-2022 00:00,Nagpur,343,KIDNAPPING,73.0,X,Firearm,Other Crime,1.0,No
39447,39448,07-01-2024 15:00,Visakhapatnam,321,HOMICIDE,39.0,F,Blunt Object,Other Crime,10.0,Yes
23578,23579,09-09-2022 10:00,Lucknow,237,SEXUAL ASSAULT,47.0,F,Other,Violent Crime,12.0,Yes
901,902,02-07-2020 13:00,Hyderabad,549,VEHICLE - STOLEN,63.0,F,Firearm,Violent Crime,5.0,No
11712,11713,05-03-2021 00:00,Chennai,343,PUBLIC INTOXICATION,35.9,F,Explosives,Other Crime,11.9,Yes
713,714,01-30-2020 17:00,Bangalore,186,ARSON,10.0,F,Other,Fire Accident,16.0,Yes
3720,3721,06-04-2020 00:00,Kanpur,573,FIREARM OFFENSE,47.0,F,Knife,Fire Accident,6.0,Yes
5241,5242,08-06-2020 09:00,Ahmedabad,146,ARSON,44.0,M,Blunt Object,Fire Accident,2.0,Yes
20637,20638,05-09-2022 21:00,Mumbai,386,KIDNAPPING,10.0,X,Firearm,Other Crime,12.0,Yes
6019,6020,09-07-2020 19:00,Nagpur,281,VEHICLE - STOLEN,72.0,F,Firearm,Violent Crime,7.0,Yes
5493,5494,08-16-2020 21:00,Ahmedabad,543,IDENTITY THEFT,37.0,F,Other,Violent Crime,7.0,Yes
6656,6657,10-04-2020 08:00,Jaipur,198,ILLEGAL POSSESSION,75.0,M,Blunt Object,Other Crime,3.0,No
23521,23522,09-07-2022 01:00,Srinagar,261,KIDNAPPING,39.0,M,Firearm,Other Crime,9.0,No
199,200,01-09-2020 07:00,Nashik,471,HOMICIDE,56.0,F,Blunt Object,Other Crime,4.0,No
6561,6562,09-30-2020 09:00,Bhopal,552,FRAUD,44.0,F,Knife,Other Crime,4.0,No
9698,9699,02-08-2021 02:00,Lucknow,478,KIDNAPPING,21.0,M,Firearm,Other Crime,14.0,No
24815,24816,10-30-2022 23:00,Surat,166,PUBLIC INTOXICATION,32.0,X,Blunt Object,Other Crime,12.0,Yes
37045,37046,03-23-2024 13:00,Delhi,219,TRAFFIC VIOLATION,69.0,M,Explosives,Traffic Fatality,15.0,No
16826,16827,12-02-2021 02:00,Mumbai,224,FRAUD,42.0,M,Explosives,Other Crime,3.0,Yes
25625,25626,12-03-2022 17:00,Nagpur,449,ROBBERY,69.0,X,Explosives,Violent Crime,9.0,Yes
5149,5150,08-02-2020 13:00,Delhi,422,KIDNAPPING,34.0,F,Knife,Other Crime,15.0,Yes
37915,37916,04-28-2024 19:00,Jaipur,438,CYBERCRIME,39.0,F,,Other Crime,17.0,Yes
5017,5018,07-28-2020 01:00,Chennai,234,PUBLIC INTOXICATION,19.9,M,,Other Crime,8.899999999999999,No
34273,34274,11-29-2023 01:00,Bangalore,395,TRAFFIC VIOLATION,40.0,F,Explosives,Traffic Fatality,10.0,Yes
14167,14168,08-13-2021 07:00,Pune,473,SHOPLIFTING,34.0,M,Knife,Other Crime,12.0,No
12017,12018,05-15-2021 17:00,Nagpur,274,EXTORTION,69.0,F,Poison,Other Crime,1.0,Yes
36771,36772,03-12-2024 03:00,Bangalore,256,VANDALISM,51.0,F,Explosives,Other Crime,19.0,Yes
2601,2602,04-18-2020 09:00,Ludhiana,516,BURGLARY,78.0,F,Knife,Other Crime,17.0,No
32458,32459,09-14-2023 10:00,Bangalore,461,VANDALISM,73.0,F,Blunt Object,Other Crime,15.0,Yes
6713,6714,10-06-2020 17:00,Lucknow,410,VANDALISM,79.0,F,,Other Crime,6.0,Yes
4779,4780,07-18-2020 03:00,Patna,229,ASSAULT,24.0,F,Explosives,Violent Crime,10.0,Yes
29831,29832,05-27-2023 23:00,Bangalore,162,SEXUAL ASSAULT,79.0,F,,Violent Crime,3.0,No
24231,24232,10-06-2022 15:00,Delhi,552,DOMESTIC VIOLENCE,57.0,X,Knife,Violent Crime,15.0,Yes
3432,3433,05-23-2020 00:00,Bangalore,113,HOMICIDE,67.0,F,Poison,Other Crime,2.0,No
9927,9928,02-17-2021 15:00,Delhi,184,EXTORTION,53.0,M,Blunt Object,Other Crime,7.0,No
26648,26649,01-15-2023 08:00,Mumbai,450,CYBERCRIME,11.0,X,Other,Other Crime,3.0,Yes
473,474,01-20-2020 17:00,Nagpur,426,COUNTERFEITING,45.0,M,Blunt Object,Other Crime,6.0,Yes
13304,13305,07-08-2021 08:00,Thane,433,HOMICIDE,14.0,F,Explosives,Other Crime,12.0,Yes
39896,39897,07-20-2024 08:00,Lucknow,388,ARSON,19.0,M,,Fire Accident,15.0,No
10278,10279,03-04-2021 06:00,Chennai,463,ROBBERY,25.0,M,Knife,Violent Crime,9.0,No
3020,3021,05-05-2020 20:00,Patna,448,CYBERCRIME,39.0,M,Knife,Other Crime,8.0,No
16805,16806,12-01-2021 05:00,Nagpur,408,CYBERCRIME,62.0,F,Poison,Other Crime,8.0,No
37473,37474,04-10-2024 09:00,Delhi,194,ROBBERY,54.0,M,Poison,Violent Crime,9.0,No
19881,19882,04-08-2022 09:00,Delhi,463,VEHICLE - STOLEN,71.0,M,Knife,Violent Crime,11.0,No
8835,8836,01-03-2021 03:00,Ahmedabad,583,BURGLARY,71.0,M,Blunt Object,Other Crime,19.0,No
12575,12576,06-07-2021 23:00,Bangalore,570,DOMESTIC VIOLENCE,40.9,F,Other,Violent Crime,10.9,No
25537,25538,11-30-2022 01:00,Bhopal,107,KIDNAPPING,58.0,X,Firearm,Other Crime,3.0,Yes
20411,20412,04-30-2022 11:00,Mumbai,533,FRAUD,28.0,F,Knife,Other Crime,17.0,No
15379,15380,10-02-2021 19:00,Mumbai,455,FIREARM OFFENSE,65.0,F,,Fire Accident,14.0,No
30993,30994,07-15-2023 09:00,Kanpur,145,ARSON,79.0,F,Poison,Fire Accident,3.0,No
8518,8519,12-20-2020 22:00,Kolkata,276,FRAUD,65.0,F,Other,Other Crime,1.0,Yes
21644,21645,06-20-2022 20:00,Bangalore,254,ARSON,38.0,X,Knife,Fire Accident,12.0,No
5794,5795,08-29-2020 10:00,Mumbai,592,ROBBERY,59.0,F,Knife,Violent Crime,10.0,No
17019,17020,12-10-2021 03:00,Kalyan,437,SEXUAL ASSAULT,61.0,F,Knife,Violent Crime,4.0,No
2022,2023,03-25-2020 06:00,Kanpur,331,KIDNAPPING,11.9,M,Explosives,Other Crime,3.9,Yes
2069,2070,03-27-2020 05:00,Pune,398,PUBLIC INTOXICATION,54.0,F,Blunt Object,Other Crime,2.0,No
38927,38928,06-09-2024 23:00,Mumbai,150,COUNTERFEITING,56.0,M,Blunt Object,Other Crime,3.0,Yes
26204,26205,12-27-2022 20:00,Kolkata,105,ASSAULT,14.0,X,Other,Violent Crime,11.0,Yes
29519,29520,05-14-2023 23:00,Mumbai,337,COUNTERFEITING,56.0,M,Knife,Other Crime,10.0,No
30355,30356,06-18-2023 19:00,Mumbai,515,EXTORTION,54.0,F,Blunt Object,Other Crime,1.0,Yes
19049,19050,03-04-2022 17:00,Lucknow,346,IDENTITY THEFT,49.9,F,Blunt Object,Violent Crime,7.899999999999999,Yes
12428,12429,06-01-2021 20:00,Mumbai,597,EXTORTION,53.0,F,Knife,Other Crime,7.0,Yes
17371,17372,12-24-2021 19:00,Ahmedabad,118,KIDNAPPING,34.0,F,Firearm,Other Crime,18.0,No
31914,31915,08-22-2023 18:00,Kanpur,450,IDENTITY THEFT,10.0,F,Poison,Violent Crime,6.0,No
34569,34570,12-11-2023 09:00,Mumbai,489,COUNTERFEITING,50.0,F,Other,Other Crime,14.0,No
3172,3173,05-12-2020 04:00,Kanpur,497,DRUG OFFENSE,42.0,M,Other,Other Crime,1.0,Yes
10817,10818,03-26-2021 17:00,Varanasi,566,DOMESTIC VIOLENCE,52.0,F,Explosives,Violent Crime,19.0,Yes
20872,20873,05-19-2022 16:00,Lucknow,103,HOMICIDE,18.0,M,Poison,Other Crime,7.0,No
5281,5282,08-08-2020 01:00,Ahmedabad,500,VEHICLE - STOLEN,30.0,F,,Violent Crime,7.0,Yes
3473,3474,05-24-2020 17:00,Chennai,280,DOMESTIC VIOLENCE,55.0,M,Firearm,Violent Crime,12.0,Yes
21124,21125,05-30-2022 04:00,Bangalore,513,KIDNAPPING,33.0,F,Poison,Other Crime,2.0,Yes
2897,2898,04-30-2020 17:00,Ludhiana,395,VEHICLE - STOLEN,37.0,M,,Violent Crime,8.0,Yes
13562,13563,07-19-2021 02:00,Delhi,299,SHOPLIFTING,48.0,F,Other,Other Crime,17.0,No
26965,26966,01-28-2023 13:00,Nagpur,442,SEXUAL ASSAULT,11.0,F,,Violent Crime,9.0,Yes
30649,30650,07-01-2023 01:00,Rajkot,127,HOMICIDE,27.9,F,Knife,Other Crime,10.9,Yes
32497,32498,09-16-2023 01:00,Visakhapatnam,452,CYBERCRIME,17.0,F,Knife,Other Crime,11.0,Yes
16379,16380,11-13-2021 11:00,Ghaziabad,471,BURGLARY,30.0,F,Other,Other Crime,14.0,Yes
28854,28855,04-17-2023 06:00,Chennai,451,DRUG OFFENSE,55.0,F,Knife,Other Crime,2.0,No
38917,38918,06-09-2024 13:00,Jaipur,332,DRUG OFFENSE,18.0,F,Knife,Other Crime,8.0,No
11109,11110,04-07-2021 21:00,Pune,159,CYBERCRIME,68.0,F,Other,Other Crime,9.0,Yes
27010,27011,01-30-2023 10:00,Delhi,185,TRAFFIC VIOLATION,63.0,M,Poison,Traffic Fatality,9.0,Yes
23797,23798,09-18-2022 13:00,Mumbai,377,ARSON,24.0,M,Firearm,Fire Accident,4.0,No
36017,36018,02-09-2024 17:00,Pune,302,FRAUD,21.0,F,,Other Crime,16.0,Yes
39587,39588,07-07-2024 11:00,Bangalore,553,IDENTITY THEFT,43.0,F,,Violent Crime,9.0,No
2801,2802,04-26-2020 17:00,Lucknow,262,IDENTITY THEFT,40.0,F,Knife,Violent Crime,6.0,Yes
21421,21422,06-11-2022 13:00,Mumbai,301,CYBERCRIME,33.0,M,Knife,Other Crime,6.0,No
34282,34283,11-29-2023 10:00,Mumbai,553,ASSAULT,16.0,F,Poison,Violent Crime,14.0,No
1950,1951,03-22-2020 06:00,Delhi,368,CYBERCRIME,60.0,M,Poison,Other Crime,10.0,Yes
15407,15408,10-03-2021 23:00,Nagpur,521,SEXUAL ASSAULT,22.0,F,Other,Violent Crime,12.0,No
23221,23222,08-25-2022 13:00,Delhi,112,HOMICIDE,48.0,F,Knife,Other Crime,3.0,Yes
29395,29396,05-09-2023 19:00,Nagpur,202,SHOPLIFTING,36.0,F,Explosives,Other Crime,6.0,Yes
4198,4199,06-23-2020 22:00,Bangalore,241,DOMESTIC VIOLENCE,77.0,M,Knife,Violent Crime,18.0,Yes
32061,32062,08-28-2023 21:00,Jaipur,443,ROBBERY,59.0,F,Other,Violent Crime,6.0,No
5016,5017,07-28-2020 00:00,Jaipur,177,TRAFFIC VIOLATION,24.0,M,Firearm,Traffic Fatality,6.0,Yes
11638,11639,04-29-2021 22:00,Bangalore,455,HOMICIDE,18.0,M,Poison,Other Crime,7.0,No
9509,9510,01-31-2021 05:00,Mumbai,465,TRAFFIC VIOLATION,70.0,F,Other,Traffic Fatality,8.0,Yes
21085,21086,05-28-2022 13:00,Delhi,530,TRAFFIC VIOLATION,14.0,M,,Traffic Fatality,5.0,Yes
32159,32160,09-01-2023 23:00,Ludhiana,587,FRAUD,65.0,M,Firearm,Other Crime,17.0,Yes
19712,19713,04-01-2022 08:00,Hyderabad,209,EXTORTION,77.0,X,Knife,Other Crime,1.0,Yes
19128,19129,03-08-2022 00:00,Delhi,383,KIDNAPPING,35.0,F,Knife,Other Crime,16.0,No
